pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,sy_dist
HD 17156 b,HD 17156,b,Radial Velocity,2007,21.216464,13.1431,,78.0863
Kepler-1564 b,Kepler-1564,b,Transit,2016,18.0540381,1.39,,908.805
HD 189733 b,HD 189733,b,Radial Velocity,2005,2.22,12.77826,362.3262,19.7638
Kepler-942 b,Kepler-942,b,Transit,2016,44.96417488,2.02,,216.354
Kepler-491 b,Kepler-491,b,Transit,2016,4.225384512,9.16,,630.785
Kepler-394 d,Kepler-394,d,Transit,2021,5.61357629,1.5,,1058.72
K2-123 b,K2-123,b,Transit,2017,30.954,3.07,,161.555
Kepler-360 c,Kepler-360,c,Transit,2014,7.1864526,2.11,,876.044
Kepler-77 b,Kepler-77,b,Transit,2013,3.578780551,10.518,,639.411
Kepler-1470 b,Kepler-1470,b,Transit,2016,16.2950903,1.18,,590.601
Kepler-169 e,Kepler-169,e,Transit,2014,13.76708539,2.75,,406.529
WASP-197 b,WASP-197,b,Transit,2025,5.167228,14.44837612,403.32424848,483.675
Kepler-1259 b,Kepler-1259,b,Transit,2016,0.663085361,1.6,,805.562
Kepler-1279 b,Kepler-1279,b,Transit,2016,23.4774101,1.75,,1494.22
HD 149026 b,HD 149026,b,Radial Velocity,2005,2.87589,8.29466,120.7754,75.8643
Kepler-1438 b,Kepler-1438,b,Transit,2016,2.31942009,0.94,,1154.13
Kepler-69 c,Kepler-69,c,Transit,2013,242.46712,1.74,,730.625
Kepler-873 b,Kepler-873,b,Transit,2016,20.5533844,3.32,,1182.22
Kepler-1765 b,Kepler-1765,b,Transit,2021,10.41890782,2.82,,764.456
Kepler-192 c,Kepler-192,c,Transit,2014,21.22341,2.08,,651.674
Kepler-507 b,Kepler-507,b,Transit,2016,3.568096926,1.22,,391.644
Kepler-257 c,Kepler-257,c,Transit,2014,6.581484,5.41,,780.256
EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.338687,2.8,,244.59
Kepler-1431 b,Kepler-1431,b,Transit,2016,5.866033,1.59,,1623.24
Kepler-249 d,Kepler-249,d,Transit,2014,15.36843606,1.08,,190.401
